District,2014 Official Grade,2013 Final Grade,2014 w/o Waiver Grade,2014 Total Points,Partici-pation Rate,Grow Read,Grow Math,Grow Read Low 25,Grow Math Low 25,Profi-ciency Read,Profi-ciency Math,Profi-ciency Science*,Profi-ciency History*,Grad Rate ('09 Cohort)*
Meridian Public School District,D,D,D,507,97.7,58.5,64.6,55.7,50.2,43.4,56.3,27,25.9,125
Monroe Co School District,B,B,C,602,99,66.8,70.1,46.8,44.9,67,72.4,36.2,34.7,163
Montgomery Co School District,D,D,D,474,97.7,53.7,54.2,67.3,37,41.1,53.6,17.9,19.5,129.4
Moss Point Separate School District,D,D,D,479,98.1,51.3,63.1,51.3,47.7,37.8,51.8,25.7,19.5,130.6
Mound Bayou School District,C,C,C,546,98.4,63.6,73.2,53.2,49.6,61.8,67.4,34.9,26.5,115.6
Natchez-Adams School District,D,F,D,478,99,51.7,61.8,49.9,54.5,36.7,49,22,27.1,125.6
Neshoba County School District,B,B,C,617,99.3,66.6,75.7,47.3,59.7,59.4,73.6,30.8,29.5,174.6
Nettleton School District,C,D,C,548,98.4,64.2,69,51.5,48.1,52.2,62.4,29.3,30.5,140.8
New Albany School District,B,B,C,603,98.8,67.2,74.2,41.5,45.5,68.6,77.9,36.5,32.1,159.4
Newton County School District,B,B,C,596,99.2,64.7,70.3,41.8,46.5,63.8,71.2,35.3,32.2,170.4
Newton Municipal School District,D,D,D,499,99,56.4,62.6,44,47.6,47.5,53.3,22.4,28,137.2
North Bolivar School District,D,F,D,487,99.3,59.1,57.6,58.9,44.7,45.1,48.4,28.1,24.4,120.2
North Panola School District,D,D,D,504,99.4,54.7,56.6,54.9,49.5,41.1,47.3,25,30.2,144.6
North Pike School District,B,B,C,605,99.6,66.1,73.4,51.7,61.5,60.4,71.9,34.2,33,152.6
North Tippah School District,B,B,C,568,99.1,59.2,71.4,48.1,49.9,53,63.4,38,29.9,155
Noxubee County School District,D,F,D,512,99.7,54,66.1,50.9,55.9,43.7,55.9,21.3,21.3,142.6
Ocean Springs School District,A,A,C,616,99.7,69.1,65,49.6,41.9,70.4,72,42,39.3,167.2
Okolona Separate School District,D,D,D,490,99,57.2,63.6,68.6,58.9,35.7,49,25.4,16.6,114.6
Oktibbeha County School District,C,C,D,485,99.7,50.6,64.8,54.9,52.9,44.3,54.3,20.1,20.4,122.8
Oxford School District,A,A,B,635,98.7,67.2,71.7,45.5,47.4,69.5,77.4,40.5,39.8,175.8
Pascagoula School District,B,B,C,551,99.1,61,63.5,48.6,37.2,55,61.2,33,33.5,158.4
Pass Christian Public School District,A,A,B,646,99.5,70,69.8,46.3,50.2,76.2,77.6,38.4,39.3,178
Pearl Public School District,B,B,C,585,99.6,62.9,67,42.3,44.3,61.9,71.4,39.4,37.3,158.4
Pearl River Co School District,B,B,C,611,98.2,70.3,73.5,49.5,49.1,66,74,39.3,34.3,154.8
Perry Co School District,C,C,D,494,97.6,55.8,53.4,51.7,34.6,45.5,50.1,30.7,24.7,147.6
Petal School District,A,A,C,603,99.5,64.6,66.3,44.9,44.9,65.9,72.6,39.6,41.9,162.2
Philadelphia Public School District,C,C,D,512,98.9,55.7,62.7,47.4,38.7,45.7,56,24.7,22.6,158.2
Picayune School District,C,C,D,525,98.8,63.3,60.3,52.4,38.7,52.4,55.4,31.1,29.3,141.6
Pontotoc City School District,A,A,C,605,98.6,68,71,42.8,52.4,71.2,81.6,37,31.7,149.6
Pontotoc Co School District,B,B,C,614,98.4,64.4,71,45.3,49.4,63.7,73.8,36.8,36.5,172.6
Poplarville Separate School District,B,B,C,619,99.2,66.6,72.4,59.9,52.4,57,68.7,37.5,35,169.6
Prentiss Co School District,B,B,B,631,98.9,73.2,75.2,55.7,54.8,65.1,72.4,39,34.3,160.8
Quitman Co School District,C,C,D,511,99,50.1,64.2,52.1,49.1,38,57,30.4,21.2,149
Quitman School District,C,C,C,569,98.5,65.1,69.7,56.3,51.8,54.5,61.6,34,31.3,145
Rankin Co School District,A,A,B,628,99.2,68.8,74.2,47.8,50.7,67.4,75.9,39.2,37.2,166.4
Richton School District,C,D,C,599,97.8,60.8,66.6,55.9,63.6,58,68.1,29.1,33.7,163
Scott Co School District,B,B,C,574,98.8,59.9,71.2,50.3,54.6,51.7,67.5,31,35.3,152.6
Senatobia Municipal School District,B,B,C,567,99.1,64.5,65.4,43.7,42.5,64.8,69.4,35.5,37.9,143.2
Shaw School District,D,F,D,530,99.4,54.6,52.8,54.8,53,35.1,33.1,21.3,44,181
Simpson Co School District,D,D,D,525,98.8,57.1,62.4,49.2,41.8,46.1,57.6,29.4,25.5,155.4
Smith Co School District,B,B,C,576,98.8,66.2,66.8,58.2,44,57.2,64.7,32.3,34.9,152
South Delta School District,D,D,D,510,98.5,54.5,63.5,42.5,35.9,51.9,62.7,23.5,20.9,155
South Panola School District,C,C,C,603,99.3,69.3,81.2,61.8,68.6,60.2,74.6,30.9,27.6,128.6
South Pike School District,C,D,C,553,99.4,61,63.1,58.6,49.6,44.4,51.3,24.1,27.5,173.2
South Tippah School District,B,B,C,542,99.4,58.4,62.6,36.2,38.6,56,65,35.6,31.6,158
Starkville School District,C,C,C,553,99.1,63.4,65.1,52.2,43,56.2,61.4,32.3,29.3,150.2
Stone Co School District,B,B,C,546,98.5,61.1,58.5,38.6,39,58.5,61.5,34.8,39,155.4
Sunflower Co School District,D,D,D,461,99.4,56,64.3,54.3,52.3,40.4,52.4,23.1,8.4,109.6
Tate Co School District,B,B,C,552,99,59.7,72,48.6,52.2,53.5,67.1,31.8,27.4,139.4
Tishomingo Co Sp Mun Sch District,B,B,C,603,99.1,68.1,65.8,46.9,40.7,66.4,69.9,38.7,34.6,171.8
Tunica County School District,D,F,D,455,98.7,53,58.3,45.7,44.6,41.7,52.2,24.2,20.7,114.6
Tupelo Public School District,B,B,C,618,98.7,69.7,77.2,52.4,49.7,65.2,74.3,37.5,33.7,158
Union Co School District,B,B,B,652,99.5,71.9,79.6,54.4,61.2,65.5,77.7,39,39.5,163.6
Union Public School District,A,A,B,653,98.2,68.2,81.6,47.2,63.8,69,80.6,39,33.7,169.6
Vicksburg Warren School District,D,D,D,514,98.6,62.1,65.2,53.5,52.2,53.4,60.1,24.5,25.5,117.8
Walthall Co School District,C,C,D,487,98.5,57.9,59.3,56,47.1,45.1,47.9,20.3,25.6,128
Water Valley School District,D,D,D,480,98.8,54.3,63.7,41.8,39.2,46.9,58.9,26.9,29.9,118
Wayne Co School District,C,C,D,499,98.2,55.4,59.9,46.1,40.6,46.7,52.9,25,29.7,142.2
Webster Co School District,A,A,B,647,98.8,71,76.8,54.5,52.1,63.8,77.2,42.5,34.6,174.8
West Bolivar School District,D,F,D,526,97.2,59.6,63.3,58.6,53,45.4,53.7,29,15.4,148.4
West Jasper School District,B,B,C,579,99.8,64.8,78.8,56,53.5,58.4,70.3,35.5,20.7,140.8
West Point School District,D,D,D,532,99.8,56.3,65.7,49.9,50.6,48.6,60.2,26.6,24.6,149
West Tallahatchie School District,D,D,D,533,99.4,64,80.3,63,59.5,45.4,64.5,30.6,13.1,112.2
Western Line School District,C,D,C,606,97.7,62.6,80.2,53,72.7,55.3,71.1,30.2,24,156.8
Wilkinson Co School District,C,F,C,544,99.2,68.6,67.8,62.8,67.3,54.6,56,22.5,22.2,122.6
Winona Separate School District,B,B,C,567,99.5,59.4,68.4,46.4,43.6,51.8,65.2,31.1,34.7,166.4
Yazoo City Municipal School District,D,F,D,434,98.7,47.1,56.6,51.8,56,25.5,37.6,24.3,17,118
Yazoo Co School District,C,C,D,525,99.6,55.8,61.9,52.8,53.6,47,56.4,27.5,31.8,138.2
